"date";"type";"type_display";"details";"amount"
04/12/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Donec viverra libero nec consectetur vehicula";134,36 €
03/09/2018;"COMMISSIONS";"COMMISSIONS";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";3 379,30 €
20/02/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras pretium erat quis vehicula iaculis";-4 206,98 €
10/10/2017;"COMMISSIONS";"COMMISSIONS";"Lorem ipsum dolor sit amet consectetur adipiscing elit";-1 132,98 €
22/05/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi tempor augue vel mi blandit molestie";1 636,67 €
09/01/2019;"INTERETS";"INTERETS";"Curabitur commodo erat id dolor molestie pharetra";-4 564,22 €
20/11/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Etiam nec velit quis nulla sagittis fermentum";-3 047,26 €
09/08/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi nec tortor fermentum posuere mauris non aliquet neque";3 211,40 €
20/11/2018;"INTERETS";"INTERETS";"Donec viverra libero nec consectetur vehicula";833,51 €
17/02/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Donec nec diam viverra ultrices dui eget cursus est";-121,33 €
21/01/2017;"PAIEMENTCB";"PAIEMENTCB";"Morbi nec tortor fermentum posuere mauris non aliquet neque";1 739,83 €
24/04/2019;"INTERETS";"INTERETS";"Curabitur elementum sapien id consequat sodales";-2 840,04 €
01/07/2017;"PAIEMENTCB";"PAIEMENTCB";"Cras pellentesque neque sed dui tincidunt ultricies";74,25 €
01/10/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";713,11 €
26/02/2019;"PAIEMENTCB";"PAIEMENTCB";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";3 404,52 €
16/11/2018;"COMMISSIONS";"COMMISSIONS";"Donec nec diam viverra ultrices dui eget cursus est";1 636,42 €
23/02/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi in libero quis risus ultricies imperdiet quis ac massa";1 448,62 €
01/09/2017;"COMMISSIONS";"COMMISSIONS";"Lorem ipsum dolor sit amet consectetur adipiscing elit";3 068,33 €
15/01/2019;"CHEQUE";"CHEQUE";"Donec nec diam viverra ultrices dui eget cursus est";1 999,77 €
15/09/2017;"INTERETS";"INTERETS";"Fusce vestibulum purus id congue feugiat";1 276,33 €
28/10/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Donec quis dolor tempor metus suscipit volutpat";-2 689,45 €
13/11/2019;"INTERETS";"INTERETS";"In vehicula eros in neque finibus vel cursus turpis finibus";-767,28 €
22/10/2019;"COMMISSIONS";"COMMISSIONS";"Cras condimentum libero eu dolor auctor quis malesuada nisi interdum";-1 617,04 €
01/05/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras pellentesque neque sed dui tincidunt ultricies";-1 704,02 €
06/08/2019;"COMMISSIONS";"COMMISSIONS";"Integer ullamcorper sapien eu luctus malesuada";-2 549,76 €
24/02/2017;"PAIEMENTCB";"PAIEMENTCB";"Integer ullamcorper sapien eu luctus malesuada";-44,68 €
11/09/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Fusce vestibulum purus id congue feugiat";-155,48 €
15/04/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";3 969,48 €
21/03/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";-39,51 €
21/11/2018;"INTERETS";"INTERETS";"Donec viverra libero nec consectetur vehicula";363,50 €
06/01/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Cras pellentesque neque sed dui tincidunt ultricies";1 119,84 €
17/05/2019;"COMMISSIONS";"COMMISSIONS";"Morbi nec tortor fermentum posuere mauris non aliquet neque";1 720,50 €
10/02/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";-466,21 €
28/12/2018;"INTERETS";"INTERETS";"Morbi at est tristique tempor lectus nec pulvinar ex";2 056,95 €
11/07/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Curabitur in ex ut dui tempus finibus";-4 129,62 €
10/07/2018;"CHEQUE";"CHEQUE";"Cras eget nisi id nibh placerat consectetur";-2 506,97 €
12/08/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras pellentesque neque sed dui tincidunt ultricies";2 234,62 €
03/06/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Curabitur commodo erat id dolor molestie pharetra";3 752,02 €
06/03/2018;"INTERETS";"INTERETS";"Cras eget nisi id nibh placerat consectetur";1 902,97 €
06/12/2017;"INTERETS";"INTERETS";"Fusce vestibulum purus id congue feugiat";-1 986,44 €
12/11/2018;"PAIEMENTCB";"PAIEMENTCB";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";-2 285,88 €
16/05/2017;"CHEQUE";"CHEQUE";"Curabitur elementum sapien id consequat sodales";-1 346,16 €
28/03/2018;"COMMISSIONS";"COMMISSIONS";"Morbi nec tortor fermentum posuere mauris non aliquet neque";2 146,59 €
12/10/2019;"COMMISSIONS";"COMMISSIONS";"Cras pretium erat quis vehicula iaculis";1 821,73 €
01/03/2019;"CHEQUE";"CHEQUE";"Donec quis dolor tempor metus suscipit volutpat";-2 219,30 €
14/03/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Curabitur elementum sapien id consequat sodales";-4 541,25 €
01/03/2018;"COMMISSIONS";"COMMISSIONS";"Fusce varius risus nec mattis suscipit";845,70 €
04/07/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras pretium erat quis vehicula iaculis";-2 294,25 €
23/04/2019;"PAIEMENTCB";"PAIEMENTCB";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";861,09 €
13/09/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Etiam nec velit quis nulla sagittis fermentum";2 366,83 €
10/04/2017;"COMMISSIONS";"COMMISSIONS";"Fusce varius risus nec mattis suscipit";-359,67 €
15/08/2018;"COMMISSIONS";"COMMISSIONS";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";4 823,51 €
26/10/2018;"INTERETS";"INTERETS";"Donec quis dolor tempor metus suscipit volutpat";3 926,25 €
13/06/2018;"COMMISSIONS";"COMMISSIONS";"Morbi in libero quis risus ultricies imperdiet quis ac massa";2 866,91 €
07/11/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Fusce varius risus nec mattis suscipit";1 956,74 €
01/09/2019;"INTERETS";"INTERETS";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";3 059,22 €
18/03/2017;"CHEQUE";"CHEQUE";"Morbi tempor augue vel mi blandit molestie";-1 574,29 €
20/09/2019;"INTERETS";"INTERETS";"Integer ullamcorper sapien eu luctus malesuada";916,56 €
10/07/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Curabitur in ex ut dui tempus finibus";1 769,38 €
23/07/2017;"INTERETS";"INTERETS";"Donec vel lacus nec nisl placerat suscipit";-642,74 €
03/06/2019;"INTERETS";"INTERETS";"Donec vel lacus nec nisl placerat suscipit";-163,37 €
21/08/2018;"COMMISSIONS";"COMMISSIONS";"Fusce vestibulum purus id congue feugiat";1 498,77 €
03/04/2019;"INTERETS";"INTERETS";"Cras eget nisi id nibh placerat consectetur";1 613,90 €
09/06/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Donec vel lacus nec nisl placerat suscipit";4 745,21 €
25/06/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Nam condimentum lorem non augue suscipit condimentum sodales erat tristique";-3 344,10 €
20/05/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Lorem ipsum dolor sit amet consectetur adipiscing elit";-3 541,47 €
03/12/2017;"INTERETS";"INTERETS";"Etiam nec velit quis nulla sagittis fermentum";-773,34 €
06/10/2017;"INTERETS";"INTERETS";"Donec nec diam viverra ultrices dui eget cursus est";-2 246,23 €
10/08/2018;"INTERETS";"INTERETS";"Morbi nec tortor fermentum posuere mauris non aliquet neque";-2 379,48 €
10/03/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras pretium erat quis vehicula iaculis";-420,42 €
28/03/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Curabitur commodo erat id dolor molestie pharetra";-961,45 €
12/06/2019;"COMMISSIONS";"COMMISSIONS";"Curabitur commodo erat id dolor molestie pharetra";-3 468,29 €
18/10/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";3 524,60 €
20/12/2018;"PAIEMENTCB";"PAIEMENTCB";"Cras pretium erat quis vehicula iaculis";2 211,01 €
14/06/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Curabitur commodo erat id dolor molestie pharetra";-4 129,31 €
03/10/2019;"COMMISSIONS";"COMMISSIONS";"Etiam nec velit quis nulla sagittis fermentum";3 541,58 €
26/05/2018;"INTERETS";"INTERETS";"Cras eget nisi id nibh placerat consectetur";2 746,14 €
16/12/2017;"INTERETS";"INTERETS";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";-502,17 €
27/11/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Lorem ipsum dolor sit amet consectetur adipiscing elit";3 952,46 €
18/06/2019;"INTERETS";"INTERETS";"Fusce varius risus nec mattis suscipit";3 135,92 €
08/01/2019;"COMMISSIONS";"COMMISSIONS";"Donec viverra libero nec consectetur vehicula";-215,69 €
10/05/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";2 628,01 €
19/09/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Fusce vestibulum purus id congue feugiat";-1 094,28 €
24/08/2019;"COMMISSIONS";"COMMISSIONS";"Donec nec diam viverra ultrices dui eget cursus est";2 579,08 €
23/05/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Fusce varius risus nec mattis suscipit";1 477,08 €
11/04/2018;"INTERETS";"INTERETS";"Morbi tempor augue vel mi blandit molestie";1 456,62 €
20/10/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras eget nisi id nibh placerat consectetur";-4 686,95 €
14/09/2017;"INTERETS";"INTERETS";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";463,02 €
06/02/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Nam condimentum lorem non augue suscipit condimentum sodales erat tristique";-1 687,69 €
21/01/2017;"COMMISSIONS";"COMMISSIONS";"Integer ut nisi ornare euismod sapien ac blandit mi";-979,07 €
12/08/2017;"CHEQUE";"CHEQUE";"Cras pellentesque neque sed dui tincidunt ultricies";-430,35 €
07/03/2017;"PAIEMENTCB";"PAIEMENTCB";"Fusce varius risus nec mattis suscipit";-2 631,07 €
19/02/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Fusce vestibulum purus id congue feugiat";4 319,87 €
04/04/2019;"INTERETS";"INTERETS";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";2 504,01 €
27/08/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi in libero quis risus ultricies imperdiet quis ac massa";-2 577,69 €
06/03/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Cras pellentesque neque sed dui tincidunt ultricies";-524,22 €
26/09/2019;"COMMISSIONS";"COMMISSIONS";"Morbi in libero quis risus ultricies imperdiet quis ac massa";-785,51 €
10/06/2018;"COMMISSIONS";"COMMISSIONS";"Integer ut nisi ornare euismod sapien ac blandit mi";-4 498,08 €
04/07/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";1 305,60 €
01/09/2017;"COMMISSIONS";"COMMISSIONS";"Donec vel lacus nec nisl placerat suscipit";3 205,74 €
18/01/2019;"PAIEMENTCB";"PAIEMENTCB";"Curabitur in ex ut dui tempus finibus";2 351,92 €
17/04/2018;"PAIEMENTCB";"PAIEMENTCB";"Donec nec diam viverra ultrices dui eget cursus est";3 672,83 €
16/12/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi nec tortor fermentum posuere mauris non aliquet neque";-74,32 €
12/11/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Curabitur commodo erat id dolor molestie pharetra";-4 190,59 €
17/02/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Cras eget nisi id nibh placerat consectetur";1 027,68 €
19/01/2019;"INTERETS";"INTERETS";"Donec efficitur libero ut mauris congue at sodales urna sodales";1 978,48 €
06/06/2019;"CHEQUE";"CHEQUE";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";-3 683,10 €
24/07/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";1 826,99 €
19/11/2019;"CHEQUE";"CHEQUE";"Lorem ipsum dolor sit amet consectetur adipiscing elit";-1 095,30 €
05/09/2018;"CHEQUE";"CHEQUE";"Integer ut nisi ornare euismod sapien ac blandit mi";-4 144,00 €
05/05/2019;"PAIEMENTCB";"PAIEMENTCB";"Morbi in libero quis risus ultricies imperdiet quis ac massa";-1 509,69 €
18/10/2018;"INTERETS";"INTERETS";"Cras pellentesque neque sed dui tincidunt ultricies";-4 882,37 €
10/07/2017;"INTERETS";"INTERETS";"Cras pellentesque neque sed dui tincidunt ultricies";-3 169,32 €
22/09/2018;"INTERETS";"INTERETS";"Cras condimentum libero eu dolor auctor quis malesuada nisi interdum";-1 892,89 €
24/11/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Integer ut nisi ornare euismod sapien ac blandit mi";2 967,21 €
12/01/2019;"PAIEMENTCB";"PAIEMENTCB";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";-3 556,83 €
20/11/2019;"CHEQUE";"CHEQUE";"Donec quis dolor tempor metus suscipit volutpat";4 844,74 €
27/01/2017;"INTERETS";"INTERETS";"Integer ullamcorper sapien eu luctus malesuada";2 369,80 €
02/12/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi in libero quis risus ultricies imperdiet quis ac massa";1 986,22 €
14/01/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Integer ut nisi ornare euismod sapien ac blandit mi";-3 563,31 €
04/02/2019;"COMMISSIONS";"COMMISSIONS";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";-4 909,88 €
05/08/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Donec viverra libero nec consectetur vehicula";4 077,12 €
18/04/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Donec viverra libero nec consectetur vehicula";4 832,21 €
01/09/2017;"COMMISSIONS";"COMMISSIONS";"Integer ullamcorper sapien eu luctus malesuada";4 490,31 €
26/05/2017;"COMMISSIONS";"COMMISSIONS";"Donec nec diam viverra ultrices dui eget cursus est";1 656,63 €
10/05/2019;"COMMISSIONS";"COMMISSIONS";"Etiam nec velit quis nulla sagittis fermentum";-3 418,37 €
18/06/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Donec quis dolor tempor metus suscipit volutpat";-953,48 €
06/01/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Curabitur in ex ut dui tempus finibus";-1 539,05 €
28/05/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi at est tristique tempor lectus nec pulvinar ex";3 402,08 €
25/03/2018;"CHEQUE";"CHEQUE";"Donec viverra libero nec consectetur vehicula";426,95 €
11/03/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Curabitur in ex ut dui tempus finibus";-1 914,89 €
08/12/2018;"CHEQUE";"CHEQUE";"Lorem ipsum dolor sit amet consectetur adipiscing elit";1 096,46 €
20/11/2019;"COMMISSIONS";"COMMISSIONS";"Cras pellentesque neque sed dui tincidunt ultricies";-843,47 €
07/03/2017;"COMMISSIONS";"COMMISSIONS";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";-4 479,82 €
15/01/2019;"COMMISSIONS";"COMMISSIONS";"Morbi at est tristique tempor lectus nec pulvinar ex";1 231,99 €
06/12/2017;"COMMISSIONS";"COMMISSIONS";"Morbi in libero quis risus ultricies imperdiet quis ac massa";1 215,92 €
06/01/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Integer ullamcorper sapien eu luctus malesuada";-813,92 €
20/06/2019;"INTERETS";"INTERETS";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";1 190,01 €
27/08/2017;"CHEQUE";"CHEQUE";"Morbi at est tristique tempor lectus nec pulvinar ex";-2 659,92 €
20/12/2017;"CHEQUE";"CHEQUE";"Curabitur elementum sapien id consequat sodales";335,56 €
10/01/2019;"INTERETS";"INTERETS";"In vehicula eros in neque finibus vel cursus turpis finibus";-2 603,32 €
18/03/2019;"COMMISSIONS";"COMMISSIONS";"Nam condimentum lorem non augue suscipit condimentum sodales erat tristique";3 105,88 €
20/03/2018;"PAIEMENTCB";"PAIEMENTCB";"Morbi in libero quis risus ultricies imperdiet quis ac massa";1 358,58 €
15/10/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Curabitur elementum sapien id consequat sodales";-2 201,08 €
18/01/2019;"COMMISSIONS";"COMMISSIONS";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";-3 629,47 €
09/08/2017;"INTERETS";"INTERETS";"Integer ut nisi ornare euismod sapien ac blandit mi";4 601,97 €
28/04/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Fusce vestibulum purus id congue feugiat";4 757,17 €
16/04/2019;"COMMISSIONS";"COMMISSIONS";"Cras pretium erat quis vehicula iaculis";-653,62 €
02/11/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Curabitur commodo erat id dolor molestie pharetra";-2 377,58 €
27/05/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";1 363,01 €
01/12/2018;"PAIEMENTCB";"PAIEMENTCB";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";-400,94 €
16/11/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";-2 954,36 €
09/03/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi in libero quis risus ultricies imperdiet quis ac massa";649,66 €
18/05/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Lorem ipsum dolor sit amet consectetur adipiscing elit";773,51 €
11/10/2018;"INTERETS";"INTERETS";"Morbi tempor augue vel mi blandit molestie";-2 703,95 €
14/05/2017;"CHEQUE";"CHEQUE";"Morbi tempor augue vel mi blandit molestie";3 737,32 €
19/05/2018;"INTERETS";"INTERETS";"Lorem ipsum dolor sit amet consectetur adipiscing elit";188,59 €
08/03/2017;"COMMISSIONS";"COMMISSIONS";"Curabitur elementum sapien id consequat sodales";-663,97 €
11/01/2017;"CHEQUE";"CHEQUE";"Morbi in libero quis risus ultricies imperdiet quis ac massa";-2 873,71 €
15/04/2018;"INTERETS";"INTERETS";"Fusce vestibulum purus id congue feugiat";-2 239,50 €
22/12/2017;"INTERETS";"INTERETS";"Integer ut nisi ornare euismod sapien ac blandit mi";561,86 €
27/09/2019;"INTERETS";"INTERETS";"Etiam nec velit quis nulla sagittis fermentum";2 991,67 €
08/10/2017;"PAIEMENTCB";"PAIEMENTCB";"In vehicula eros in neque finibus vel cursus turpis finibus";-4 546,60 €
06/12/2019;"COMMISSIONS";"COMMISSIONS";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";-1 830,35 €
08/07/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";-3 904,65 €
21/05/2018;"CHEQUE";"CHEQUE";"Curabitur elementum sapien id consequat sodales";-3 928,31 €
13/04/2017;"INTERETS";"INTERETS";"Fusce varius risus nec mattis suscipit";-3 972,39 €
06/09/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras pretium erat quis vehicula iaculis";3 695,95 €
03/09/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"In vehicula eros in neque finibus vel cursus turpis finibus";1 180,00 €
17/12/2019;"COMMISSIONS";"COMMISSIONS";"Morbi nec tortor fermentum posuere mauris non aliquet neque";1 654,44 €
10/10/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";-248,66 €
08/01/2018;"COMMISSIONS";"COMMISSIONS";"Morbi nec tortor fermentum posuere mauris non aliquet neque";-1 469,19 €
28/01/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Fusce vestibulum purus id congue feugiat";-1 617,00 €
08/05/2017;"COMMISSIONS";"COMMISSIONS";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";-86,50 €
14/08/2017;"COMMISSIONS";"COMMISSIONS";"Lorem ipsum dolor sit amet consectetur adipiscing elit";4 062,26 €
07/08/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Cras pellentesque neque sed dui tincidunt ultricies";-3 463,30 €
28/12/2018;"INTERETS";"INTERETS";"Lorem ipsum dolor sit amet consectetur adipiscing elit";-3 745,90 €
03/02/2019;"INTERETS";"INTERETS";"Integer ullamcorper sapien eu luctus malesuada";1 673,71 €
13/04/2018;"INTERETS";"INTERETS";"Fusce varius risus nec mattis suscipit";3 654,55 €
23/05/2019;"COMMISSIONS";"COMMISSIONS";"Fusce vestibulum purus id congue feugiat";1 781,07 €
27/02/2017;"INTERETS";"INTERETS";"Cras eget nisi id nibh placerat consectetur";4 361,88 €
06/11/2019;"COMMISSIONS";"COMMISSIONS";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";344,04 €
23/09/2018;"COMMISSIONS";"COMMISSIONS";"Curabitur in ex ut dui tempus finibus";-1 417,13 €
12/08/2018;"COMMISSIONS";"COMMISSIONS";"Morbi at est tristique tempor lectus nec pulvinar ex";411,89 €
20/06/2019;"COMMISSIONS";"COMMISSIONS";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";-3 268,09 €
17/04/2018;"COMMISSIONS";"COMMISSIONS";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";-2 126,79 €
04/04/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";4 443,77 €
13/09/2017;"COMMISSIONS";"COMMISSIONS";"Etiam nec velit quis nulla sagittis fermentum";-1 519,48 €
09/01/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Donec vel lacus nec nisl placerat suscipit";-3 184,05 €
04/11/2018;"COMMISSIONS";"COMMISSIONS";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";-3 802,19 €
14/10/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Donec quis dolor tempor metus suscipit volutpat";-860,71 €
28/10/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Donec efficitur libero ut mauris congue at sodales urna sodales";1 066,61 €
08/04/2018;"CHEQUE";"CHEQUE";"Cras pretium erat quis vehicula iaculis";1 241,11 €
25/05/2018;"CHEQUE";"CHEQUE";"Morbi at est tristique tempor lectus nec pulvinar ex";-3 355,27 €
26/09/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi in libero quis risus ultricies imperdiet quis ac massa";3 475,16 €
17/08/2018;"PAIEMENTCB";"PAIEMENTCB";"Donec efficitur libero ut mauris congue at sodales urna sodales";-274,32 €
26/01/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Curabitur elementum sapien id consequat sodales";-347,81 €
13/01/2017;"COMMISSIONS";"COMMISSIONS";"Morbi tempor augue vel mi blandit molestie";-3 883,88 €
24/11/2017;"CHEQUE";"CHEQUE";"Lorem ipsum dolor sit amet consectetur adipiscing elit";2 570,69 €
27/01/2019;"COMMISSIONS";"COMMISSIONS";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";4 910,82 €
10/01/2018;"COMMISSIONS";"COMMISSIONS";"Lorem ipsum dolor sit amet consectetur adipiscing elit";195,42 €
11/09/2018;"INTERETS";"INTERETS";"Lorem ipsum dolor sit amet consectetur adipiscing elit";-1 825,62 €
17/09/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Lorem ipsum dolor sit amet consectetur adipiscing elit";4 985,64 €
11/10/2019;"COMMISSIONS";"COMMISSIONS";"Integer ut nisi ornare euismod sapien ac blandit mi";-1 058,82 €
20/03/2019;"INTERETS";"INTERETS";"Integer ullamcorper sapien eu luctus malesuada";1 951,65 €
25/01/2017;"COMMISSIONS";"COMMISSIONS";"Fusce varius risus nec mattis suscipit";1 233,29 €
04/09/2018;"CHEQUE";"CHEQUE";"Curabitur commodo erat id dolor molestie pharetra";1 916,55 €
12/11/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi at est tristique tempor lectus nec pulvinar ex";-3 410,45 €
09/12/2017;"COMMISSIONS";"COMMISSIONS";"Curabitur in ex ut dui tempus finibus";3 786,76 €
21/08/2019;"INTERETS";"INTERETS";"Lorem ipsum dolor sit amet consectetur adipiscing elit";-1 502,55 €
12/06/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";-464,36 €
01/04/2019;"INTERETS";"INTERETS";"Curabitur in ex ut dui tempus finibus";-2 643,50 €
14/08/2019;"COMMISSIONS";"COMMISSIONS";"Donec viverra libero nec consectetur vehicula";-695,53 €
01/11/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras pellentesque neque sed dui tincidunt ultricies";-2 549,99 €
21/03/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi at est tristique tempor lectus nec pulvinar ex";-3 367,60 €
28/01/2017;"INTERETS";"INTERETS";"Donec viverra libero nec consectetur vehicula";1 828,96 €
22/07/2017;"PAIEMENTCB";"PAIEMENTCB";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";321,45 €
13/11/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";770,66 €
10/12/2018;"COMMISSIONS";"COMMISSIONS";"Donec efficitur libero ut mauris congue at sodales urna sodales";345,10 €
08/05/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Lorem ipsum dolor sit amet consectetur adipiscing elit";1 293,97 €
11/01/2019;"INTERETS";"INTERETS";"Donec viverra libero nec consectetur vehicula";-1 187,15 €
27/05/2018;"COMMISSIONS";"COMMISSIONS";"Curabitur elementum sapien id consequat sodales";-2 566,39 €
20/07/2018;"INTERETS";"INTERETS";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";-2 143,44 €
16/12/2017;"COMMISSIONS";"COMMISSIONS";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";3 021,19 €
10/06/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Lorem ipsum dolor sit amet consectetur adipiscing elit";4 802,90 €
21/03/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";2 592,14 €
09/11/2017;"COMMISSIONS";"COMMISSIONS";"Curabitur elementum sapien id consequat sodales";2 510,10 €
16/03/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi at est tristique tempor lectus nec pulvinar ex";72,85 €
